"ID","row","column","treatment_idx","hole_treatment","liquid_treatment","color","taste_1","taste_2","taste_3"
1,1,1,3,"NH","DC",1,4,2,1
2,1,2,6,"H","M",3,4,4,3
3,1,3,2,"H","NL",5,3,4,4
4,1,4,4,"H","DC",4,1,1,3
5,1,5,5,"NH","M",2,2,3,5
6,1,6,1,"NH","NL",5,1,3,4
7,2,1,5,"NH","M",1,2,1,4
8,2,2,4,"H","DC",1,4,3,4
9,2,3,2,"H","NL",2,5,5,1
10,2,4,6,"H","M",3,5,2,2
11,2,5,1,"NH","NL",4,3,3,3
12,2,6,3,"NH","DC",5,1,2,4
13,3,1,3,"NH","DC",5,4,5,3
14,3,2,5,"NH","M",3,1,5,1
15,3,3,6,"H","M",6,1,3,5
16,3,4,4,"H","DC",1,3,4,5
17,3,5,1,"NH","NL",2,4,4,2
18,3,6,2,"H","NL",5,1,4,3
19,4,1,1,"NH","NL",5,3,5,5
20,4,2,6,"H","M",4,5,3,1
21,4,3,5,"NH","M",5,3,1,4
22,4,4,3,"NH","DC",2,2,2,2
23,4,5,2,"H","NL",1,5,1,4
24,4,6,4,"H","DC",1,5,2,5
25,5,1,2,"H","NL",3,3,5,5
26,5,2,1,"NH","NL",1,2,3,5
27,5,3,6,"H","M",6,2,4,5
28,5,4,3,"NH","DC",5,2,4,1
29,5,5,4,"H","DC",1,4,1,2
30,5,6,5,"NH","M",2,2,4,1
