tasting_order
,row,col,Julian,Paolo,Feifan
1,3,3,3.0,3.5,3.0
2,4,1,3.0,3.0,2.5
3,3,2,3.5,3.5,3.0
4,1,3,2.5,2.5,3.5
5,2,4,2.5,2.0,2.5
6,3,6,2.5,3.5,3.5
7,4,4,3.0,3.0,4.0
8,2,5,3.0,2.0,2.5
9,1,5,2.0,4.0,3.5
10,4,2,2.5,3.0,2.5
11,5,4,1.5,2.0,3.5
12,4,6,3.0,4.0,2.5
13,2,3,2.0,3.0,2.5
14,5,3,2.5,2.0,3.0
15,2,2,3.0,4.0,3.0
16,5,2,3.0,4.0,2.5
17,2,1,2.0,4.0,3.0
18,5,6,2.5,2.5,3.0
19,5,1,2.5,3.5,4.0
20,3,5,3.0,3.0,2.5
21,1,4,3.0,3.5,3.5
22,1,1,2.5,2.0,3.0
23,4,5,3.0,2.5,3.5
24,4,3,3.5,3.5,4.0
25,5,5,3.0,2.5,3.0
26,3,1,2.5,2.0,3.0
27,3,4,3.0,3.0,4.0
28,1,2,2.0,2.5,3.0
29,2,6,2.5,3.5,3.5
30,1,6,1.5,2.5,4.0
